Treatment,Colony,BeeID,Trial,Num not reach feeder 9,Num reach feeder 9,NumDistinctArms
Balanced,Balanced_Colony05,5Rep5,5,1,13,8
Balanced,Balanced_Colony05,5Rep5,6,0,38,8
Balanced,Balanced_Colony05,5Rep5,7,0,16,8
Balanced,Balanced_Colony05,5Rep5,8,0,11,8
Balanced,Balanced_Colony05,5Rep6,1,0,22,8
Balanced,Balanced_Colony05,5Rep6,2,1,12,8
Balanced,Balanced_Colony05,5Rep6,3,0,15,8
Balanced,Balanced_Colony05,5Rep6,4,2,10,8
Balanced,Balanced_Colony05,5Rep6,5,0,11,8
Balanced,Balanced_Colony05,5Rep6,6,1,13,8
Balanced,Balanced_Colony05,5Rep6,7,0,15,8
Balanced,Balanced_Colony05,5Rep6,8,0,30,8
Unbalanced,Unbalanced_Colony06,6Rep1,1,1,15,8
Unbalanced,Unbalanced_Colony06,6Rep1,2,4,19,8
Unbalanced,Unbalanced_Colony06,6Rep1,3,2,23,8
Unbalanced,Unbalanced_Colony06,6Rep1,4,3,15,8
Unbalanced,Unbalanced_Colony06,6Rep1,5,1,17,8
Unbalanced,Unbalanced_Colony06,6Rep1,6,2,23,8
Unbalanced,Unbalanced_Colony06,6Rep1,7,1,28,8
Unbalanced,Unbalanced_Colony06,6Rep1,8,3,13,8
Unbalanced,Unbalanced_Colony06,6Rep2,1,1,26,8
Unbalanced,Unbalanced_Colony06,6Rep2,2,6,35,8
Unbalanced,Unbalanced_Colony06,6Rep2,3,1,19,8
Unbalanced,Unbalanced_Colony06,6Rep2,4,0,15,8
Unbalanced,Unbalanced_Colony06,6Rep2,5,1,18,8
Unbalanced,Unbalanced_Colony06,6Rep2,6,0,11,8
Unbalanced,Unbalanced_Colony06,6Rep2,7,1,17,8
Unbalanced,Unbalanced_Colony06,6Rep2,8,0,11,8
Unbalanced,Unbalanced_Colony06,6Rep3,1,2,40,8
Unbalanced,Unbalanced_Colony06,6Rep3,2,1,9,8
Unbalanced,Unbalanced_Colony06,6Rep3,3,0,10,8
Unbalanced,Unbalanced_Colony06,6Rep3,4,0,10,8
Unbalanced,Unbalanced_Colony06,6Rep3,5,4,56,8
Unbalanced,Unbalanced_Colony06,6Rep3,6,1,13,8
Unbalanced,Unbalanced_Colony06,6Rep3,7,0,12,8
Unbalanced,Unbalanced_Colony06,6Rep3,8,0,11,8
Unbalanced,Unbalanced_Colony06,6Rep4,1,0,15,8
Unbalanced,Unbalanced_Colony06,6Rep4,2,0,26,8
Unbalanced,Unbalanced_Colony06,6Rep4,3,4,27,8
Unbalanced,Unbalanced_Colony06,6Rep4,4,8,26,8
Unbalanced,Unbalanced_Colony06,6Rep4,5,3,16,8
Unbalanced,Unbalanced_Colony06,6Rep4,6,7,17,8
