Treatment,Colony,BeeID,Trial,nL,nR,nSwitch
Ratio5,Colony2_809,Colony2_809Rep4,3,6,3,3
Ratio5,Colony2_809,Colony2_809Rep4,4,24,16,11
Ratio5,Colony2_809,Colony2_809Rep4,5,6,4,2
Ratio5,Colony2_809,Colony2_809Rep4,6,8,3,6
Ratio5,Colony2_809,Colony2_809Rep4,7,11,5,5
Ratio5,Colony2_809,Colony2_809Rep4,8,16,4,7
Ratio5,Colony2_809,Colony2_809Rep5,1,8,16,9
Ratio5,Colony2_809,Colony2_809Rep5,2,8,12,12
Ratio5,Colony2_809,Colony2_809Rep5,3,2,6,3
Ratio5,Colony2_809,Colony2_809Rep5,4,3,7,3
Ratio5,Colony2_809,Colony2_809Rep5,5,3,6,3
Ratio5,Colony2_809,Colony2_809Rep5,6,2,13,3
Ratio5,Colony2_809,Colony2_809Rep5,7,6,12,3
Ratio5,Colony2_809,Colony2_809Rep5,8,3,11,5
Ratio5,Colony2_809,Colony2_809Rep6,1,4,17,4
Ratio5,Colony2_809,Colony2_809Rep6,2,3,8,6
Ratio5,Colony2_809,Colony2_809Rep6,3,5,2,3
Ratio5,Colony2_809,Colony2_809Rep6,4,0,12,0
Ratio5,Colony2_809,Colony2_809Rep6,5,1,10,2
Ratio5,Colony2_809,Colony2_809Rep6,6,2,10,4
Ratio5,Colony2_809,Colony2_809Rep6,7,0,16,0
Ratio5,Colony2_809,Colony2_809Rep6,8,0,9,0
Ratio5,Colony3_879,Colony3_879Rep1,1,10,9,10
Ratio5,Colony3_879,Colony3_879Rep1,2,7,13,10
Ratio5,Colony3_879,Colony3_879Rep1,3,6,6,4
Ratio5,Colony3_879,Colony3_879Rep1,4,1,10,2
Ratio5,Colony3_879,Colony3_879Rep1,5,4,12,7
Ratio5,Colony3_879,Colony3_879Rep1,6,11,10,10
Ratio5,Colony3_879,Colony3_879Rep1,7,8,5,4
Ratio5,Colony3_879,Colony3_879Rep1,8,6,6,6
Ratio5,Colony3_879,Colony3_879Rep2,1,20,5,7
Ratio5,Colony3_879,Colony3_879Rep2,2,9,5,10
Ratio5,Colony3_879,Colony3_879Rep2,3,13,11,13
Ratio5,Colony3_879,Colony3_879Rep2,4,7,3,3
Ratio5,Colony3_879,Colony3_879Rep2,5,9,0,0
Ratio5,Colony3_879,Colony3_879Rep2,6,7,0,0
Ratio5,Colony3_879,Colony3_879Rep2,7,9,7,10
Ratio5,Colony3_879,Colony3_879Rep2,8,6,2,2
Ratio5,Colony3_879,Colony3_879Rep3,1,5,8,5
Ratio5,Colony3_879,Colony3_879Rep3,2,13,5,5
Ratio5,Colony3_879,Colony3_879Rep3,3,11,3,6
Ratio5,Colony3_879,Colony3_879Rep3,4,9,5,4
Ratio5,Colony3_879,Colony3_879Rep3,5,6,4,4
Ratio5,Colony3_879,Colony3_879Rep3,6,11,4,5
Ratio5,Colony3_879,Colony3_879Rep3,7,16,9,10
Ratio5,Colony3_879,Colony3_879Rep3,8,5,12,8
Ratio5,Colony3_879,Colony3_879Rep4,1,11,2,3
Ratio5,Colony3_879,Colony3_879Rep4,2,9,2,3
Ratio5,Colony3_879,Colony3_879Rep4,3,14,5,9
Ratio5,Colony3_879,Colony3_879Rep4,4,11,1,1
Ratio5,Colony3_879,Colony3_879Rep4,5,6,14,10
Ratio5,Colony3_879,Colony3_879Rep4,6,14,12,10
Ratio5,Colony3_879,Colony3_879Rep4,7,9,8,9
Ratio5,Colony3_879,Colony3_879Rep4,8,4,7,5
Ratio5,Colony3_879,Colony3_879Rep5,1,7,11,12
Ratio5,Colony3_879,Colony3_879Rep5,2,9,12,11
Ratio5,Colony3_879,Colony3_879Rep5,3,12,12,9
Ratio5,Colony3_879,Colony3_879Rep5,4,0,12,0
Ratio5,Colony3_879,Colony3_879Rep5,5,6,17,8
Ratio5,Colony3_879,Colony3_879Rep5,6,3,7,4
Ratio5,Colony3_879,Colony3_879Rep5,7,3,8,4
Ratio5,Colony3_879,Colony3_879Rep5,8,12,15,8
Ratio5,Colony3_879,Colony3_879Rep6,1,5,8,5
Ratio5,Colony3_879,Colony3_879Rep6,2,9,6,7
Ratio5,Colony3_879,Colony3_879Rep6,3,8,12,10
Ratio5,Colony3_879,Colony3_879Rep6,4,4,6,2
Ratio5,Colony3_879,Colony3_879Rep6,5,6,6,5
Ratio5,Colony3_879,Colony3_879Rep6,6,9,10,10
Ratio5,Colony3_879,Colony3_879Rep6,7,12,10,11
Ratio5,Colony3_879,Colony3_879Rep6,8,4,11,4
Ratio5,Colony4_816,Colony4_816Rep1,1,6,20,10
Ratio5,Colony4_816,Colony4_816Rep1,2,1,10,1
Ratio5,Colony4_816,Colony4_816Rep1,3,6,17,10
Ratio5,Colony4_816,Colony4_816Rep1,4,8,19,8
Ratio5,Colony4_816,Colony4_816Rep1,5,3,6,4
Ratio5,Colony4_816,Colony4_816Rep1,6,8,15,8
Ratio5,Colony4_816,Colony4_816Rep1,7,1,9,1
Ratio5,Colony4_816,Colony4_816Rep1,8,0,12,0
Ratio5,Colony4_816,Colony4_816Rep2,1,9,7,5
Ratio5,Colony4_816,Colony4_816Rep2,2,4,6,6
Ratio5,Colony4_816,Colony4_816Rep2,3,3,7,3
Ratio5,Colony4_816,Colony4_816Rep2,4,6,13,7
Ratio5,Colony4_816,Colony4_816Rep2,5,3,12,6
Ratio5,Colony4_816,Colony4_816Rep2,6,1,6,2
Ratio5,Colony4_816,Colony4_816Rep2,7,6,9,3
Ratio5,Colony4_816,Colony4_816Rep2,8,0,13,0
Ratio5,Colony4_816,Colony4_816Rep3,1,13,10,13
Ratio5,Colony4_816,Colony4_816Rep3,2,10,8,9
Ratio5,Colony4_816,Colony4_816Rep3,3,4,11,7
Ratio5,Colony4_816,Colony4_816Rep3,4,5,9,3
Ratio5,Colony4_816,Colony4_816Rep3,5,11,4,8
Ratio5,Colony4_816,Colony4_816Rep3,6,11,3,5
Ratio5,Colony4_816,Colony4_816Rep3,7,5,2,3
Ratio5,Colony4_816,Colony4_816Rep3,8,14,15,11
Ratio5,Colony4_816,Colony4_816Rep4,1,11,16,11
Ratio5,Colony4_816,Colony4_816Rep4,2,4,11,6
Ratio5,Colony4_816,Colony4_816Rep4,3,13,7,7
Ratio5,Colony4_816,Colony4_816Rep4,4,4,7,6
Ratio5,Colony4_816,Colony4_816Rep4,5,11,4,6
Ratio5,Colony4_816,Colony4_816Rep4,6,8,1,2
Ratio5,Colony4_816,Colony4_816Rep4,7,12,5,8
Ratio5,Colony4_816,Colony4_816Rep4,8,11,6,5
Ratio5,Colony4_816,Colony4_816Rep5,1,5,6,7
Ratio5,Colony4_816,Colony4_816Rep5,2,6,4,3
Ratio5,Colony4_816,Colony4_816Rep5,3,6,11,5
Ratio5,Colony4_816,Colony4_816Rep5,4,16,5,6
Ratio5,Colony4_816,Colony4_816Rep5,5,12,7,9
Ratio5,Colony4_816,Colony4_816Rep5,6,8,4,5
Ratio5,Colony4_816,Colony4_816Rep5,7,14,4,5
Ratio5,Colony4_816,Colony4_816Rep5,8,13,5,6
Ratio5,Colony4_816,Colony4_816Rep6,1,9,1,2
Ratio5,Colony4_816,Colony4_816Rep6,2,17,5,6
Ratio5,Colony4_816,Colony4_816Rep6,3,17,4,6
Ratio5,Colony4_816,Colony4_816Rep6,4,9,9,5
Ratio5,Colony4_816,Colony4_816Rep6,5,6,6,6
Ratio5,Colony4_816,Colony4_816Rep6,6,7,6,6
Ratio5,Colony4_816,Colony4_816Rep6,7,15,2,3
Ratio5,Colony4_816,Colony4_816Rep6,8,21,7,6
