Treatment,ColonyID,TestingDate,BeeID,Trial number,Finish time (s),Total distance (cm),New or Used,Notes
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,4,92.66,93.08101,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,5,167.9,217.890262,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,6,159.64,162.598449,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,7,92.7,77.798104,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,8,122.06,193.322136,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,1,167.24,301.677482,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,2,116.2,214.920094,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,3,116.8,234.184338,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,4,136.28,262.212419,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,5,90.96,122.447836,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,6,105.9,178.376218,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,7,143.68,260.704479,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep4,8,144.2,259.617078,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,1,138,242.188233,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,2,162.54,356.294099,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,3,85.78,149.620082,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,4,150.1,248.752986,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,5,166.24,352.058613,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,6,145.04,290.831979,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,7,99.5,133.447997,,
Balanced,Balanced_Colony02,03_02_2022,Colony2_39Rep5,8,152.7,292.95992,,
Balanced,Balanced_Colony02,06_02_2022,Colony2_39Rep6,1,74.52,226.357179,,
Balanced,Balanced_Colony02,06_02_2022,Colony2_39Rep6,2,121.72,248.309682,,
Balanced,Balanced_Colony02,06_02_2022,Colony2_39Rep6,3,101.44,252.605508,,
Balanced,Balanced_Colony02,06_02_2022,Colony2_39Rep6,4,120.5,146.586315,,
Balanced,Balanced_Colony02,06_02_2022,Colony2_39Rep6,5,109.4,259.432271,,
