p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.25,0.61,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.528875,0.09165309359477486,4.683625,0.016003077664428076,1.0,0.004375,8000,1.312365150311691
0.25,0.62,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.503875,0.09171841912395623,4.665,0.01606153391208172,1.0,0.004125,8000,1.3118359455476412
0.25,0.63,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.425,0.09133760695795352,4.664125,0.015853092383321915,1.0,0.004,8000,1.3101620652044532
0.25,0.64,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.436625,0.090935590454856,4.66575,0.01586674466882852,1.0,0.004,8000,1.3104091759587775
0.25,0.65,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.560125,0.09209208430720786,4.684875,0.015765150547754028,1.0,0.00425,8000,1.31302575072427
0.25,0.66,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.43475,0.08912784792839465,4.624625,0.015920592304600075,1.0,0.0045,8000,1.3103693288944622
0.25,0.67,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.58775,0.09239442398427204,4.651875,0.015734840202442466,1.0,0.002625,8000,1.313608885909991
0.25,0.68,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.746125,0.09233038326036562,4.6125,0.015728521610405923,1.0,0.00325,8000,1.3169369902879011
0.25,0.6900000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.816625,0.0927428230650525,4.6225,0.015707245412382324,1.0,0.00425,8000,1.3184103187052305
0.25,0.7000000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.741625,0.09249927261525447,4.62525,0.015696571360700406,1.0,0.004125,8000,1.3168427781324465
0.25,0.71,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.803625,0.09210459076168134,4.60725,0.01572416407490337,1.0,0.00525,8000,1.3181390167092863
0.25,0.72,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.00375,0.09506413830139299,4.608125,0.015773029880331354,1.0,0.003875,8000,1.3222968403964597
0.25,0.73,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.948625,0.09317853685875448,4.56475,0.015459812593080699,1.0,0.00375,8000,1.3211555225524407
0.25,0.74,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.99875,0.09402764861744425,4.60125,0.015537212758729886,1.0,0.002625,8000,1.3221934431024998
0.25,0.75,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.022625,0.09412307253149846,4.564125,0.015769379576045524,1.0,0.003875,8000,1.32268694346374
0.25,0.76,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,21.061875,0.09362228742203772,4.56625,0.01537082138196409,1.0,0.0025,8000,1.3234970309475929
